# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ko,갑과 을,,,갑과 을,cultural_reference,Wiktionary,Wiktionary contributors,,,,"A and B, former and latter",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B0%91%EA%B3%BC_%EC%9D%84,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,강원도 포수,,,강원도 포수,cultural_reference,Wiktionary,Wiktionary contributors,,,,someone sent on an errand who fails to return even after a long time,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B0%95%EC%9B%90%EB%8F%84_%ED%8F%AC%EC%88%98,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,골로 가다,,,골로 가다,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to croak, to die",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B3%A8%EB%A1%9C_%EA%B0%80%EB%8B%A4,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,교하질쉬,,,교하질쉬,cultural_reference,Wiktionary,Wiktionary contributors,,,,"""scolding the village head under the bridge"": complaining behind someone's back",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B5%90%ED%95%98%EC%A7%88%EC%89%AC,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,귀청,,,귀청,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B7%80%EC%B2%AD,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,기차 떠나고 손 흔들다,,,기차 떠나고 손 흔들다,cultural_reference,Wiktionary,Wiktionary contributors,,,,"""to wave after the train has left""; to be affected by l'esprit de l'escalier",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B8%B0%EC%B0%A8_%EB%96%A0%EB%82%98%EA%B3%A0_%EC%86%90_%ED%9D%94%EB%93%A4%EB%8B%A4,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,까마귀 고기를 먹었나,,,까마귀 고기를 먹었나,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%B9%8C%EB%A7%88%EA%B7%80_%EA%B3%A0%EA%B8%B0%EB%A5%BC_%EB%A8%B9%EC%97%88%EB%82%98,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,꼬리 치다,,,꼬리 치다,cultural_reference,Wiktionary,Wiktionary contributors,,,,to wag the tail,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%BC%AC%EB%A6%AC_%EC%B9%98%EB%8B%A4,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,꼬집어 말하다,,,꼬집어 말하다,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to put one's finger on something, to specify something, to stipulate, to pinpoint",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EA%BC%AC%EC%A7%91%EC%96%B4_%EB%A7%90%ED%95%98%EB%8B%A4,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ko,나이가 들다,,,나이가 들다,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to age, grow old(er), put on years",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%EB%82%98%EC%9D%B4%EA%B0%80_%EB%93%A4%EB%8B%A4,CC-BY-SA-4.0,,ko_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
