# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
fr,24 Sussex,,,24 Sussex,cultural_reference,Wiktionary,Wiktionary contributors,,,,;,,,,B1,common,0.70,https://en.wiktionary.org/wiki/24_Sussex,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à contre-courant,,,à contre-courant,cultural_reference,Wiktionary,Wiktionary contributors,,,,upstream,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_contre-courant,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à contre-jour,,,à contre-jour,cultural_reference,Wiktionary,Wiktionary contributors,,,,backlit,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_contre-jour,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à la fortune du pot,,,à la fortune du pot,cultural_reference,Wiktionary,Wiktionary contributors,,,,by pot luck,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_la_fortune_du_pot,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à la une,,,à la une,cultural_reference,Wiktionary,Wiktionary contributors,,,,"in the news, on the frontpage",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_la_une,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à la vôtre,,,à la vôtre,cultural_reference,Wiktionary,Wiktionary contributors,,,,cheers,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_la_v%C3%B4tre,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à l'anglaise,,,à l'anglaise,cultural_reference,Wiktionary,Wiktionary contributors,,,,"the English way, in the English fashion, manner, or custom",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_l%27anglaise,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à pleine lancée,,,à pleine lancée,cultural_reference,Wiktionary,Wiktionary contributors,,,,on a path or course where momentum is accumulated,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_pleine_lanc%C3%A9e,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à plus tard,,,à plus tard,cultural_reference,Wiktionary,Wiktionary contributors,,,,see you later,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_plus_tard,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fr,à ta santé,,,à ta santé,cultural_reference,Wiktionary,Wiktionary contributors,,,,"cheers lit. ""to your health""",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_ta_sant%C3%A9,CC-BY-SA-4.0,,fr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
