language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,source_dataset,notes
en,a broken reed,,,a broken reed,classical_or_scriptural_allusion,Isaiah,King James Version,Isaiah 36:6,An unreliable support or ally.,mnemosyne.en.explanation.kjv_bible_phrases.a_broken_reed,mnemosyne.en.work.isaiah,mnemosyne.en.author.king_james_version,C1,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a camel through the eye of a needle,,eye of a needle,a camel through the eye of a needle,classical_or_scriptural_allusion,Gospels,King James Version,Matthew 19:24,Something extremely difficult or impossible.,mnemosyne.en.explanation.kjv_bible_phrases.a_camel_through_the_eye_of_a_needle,mnemosyne.en.work.gospels,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a coat of many colours,,,a coat of many colours,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,"A distinctive, richly varied garment or symbol of favour.",mnemosyne.en.explanation.kjv_bible_phrases.a_coat_of_many_colours,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a drop in the bucket,,drop in a bucket,a drop in the bucket,classical_or_scriptural_allusion,Isaiah,King James Version,Isaiah 40:15,A very small or insignificant amount.,mnemosyne.en.explanation.kjv_bible_phrases.a_drop_in_the_bucket,mnemosyne.en.work.isaiah,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a good Samaritan,,good Samaritan,a good Samaritan,classical_or_scriptural_allusion,Gospel of Luke,King James Version,Luke 10:25–37,Someone who helps a stranger in need.,mnemosyne.en.explanation.kjv_bible_phrases.a_good_samaritan,mnemosyne.en.work.gospel_of_luke,mnemosyne.en.author.king_james_version,B1,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a house divided against itself,,house divided,a house divided against itself,classical_or_scriptural_allusion,Gospel of Matthew,King James Version,Matthew 12:25,An internally divided group cannot endure.,mnemosyne.en.explanation.kjv_bible_phrases.a_house_divided_against_itself,mnemosyne.en.work.gospel_of_matthew,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a Job’s comforter,,Job's comforter,a Job’s comforter,classical_or_scriptural_allusion,Job,King James Version,Book of Job,A person whose comfort makes distress worse.,mnemosyne.en.explanation.kjv_bible_phrases.a_job_s_comforter,mnemosyne.en.work.job,mnemosyne.en.author.king_james_version,C1,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a law unto themselves,,a law unto himself|a law unto herself,a law unto themselves,classical_or_scriptural_allusion,Romans,King James Version,Romans 2:14,Someone acting by their own rules.,mnemosyne.en.explanation.kjv_bible_phrases.a_law_unto_themselves,mnemosyne.en.work.romans,mnemosyne.en.author.king_james_version,B2,religious,0.84,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical phrasing influenced by the King James Version; exact wording should be checked.
en,a leopard cannot change its spots,,,a leopard cannot change its spots,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,People cannot easily change their nature.,mnemosyne.en.explanation.kjv_bible_phrases.a_leopard_cannot_change_its_spots,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,B2,religious,0.78,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
en,a mess of pottage,,,a mess of pottage,classical_or_scriptural_allusion,King James Bible / Authorised Version,King James Version,,A Biblical/KJV expression or allusion used figuratively in modern English.,mnemosyne.en.explanation.kjv_bible_phrases.a_mess_of_pottage,mnemosyne.en.work.king_james_bible_authorised_version,mnemosyne.en.author.king_james_version,C1,religious,0.68,https://www.gutenberg.org/ebooks/10,public_domain,en_kjv_bible_phrases,Biblical/KJV-associated expression; included for expanded Mnemosyne review. Exact Crystal inclusion and wording should be checked. Needs source-location review.
