# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
pt,à caçador,,,à caçador,cultural_reference,Wiktionary,Wiktionary contributors,,,,forgoing underwear beneath one's outer clothing; going commando,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_ca%C3%A7ador,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a caminho,,,a caminho,cultural_reference,Wiktionary,Wiktionary contributors,,,,on the way; on one's way; en route,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_caminho,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a casa caiu,,,a casa caiu,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_casa_caiu,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a cereja do bolo,,,a cereja do bolo,cultural_reference,Wiktionary,Wiktionary contributors,,,,the icing on the cake,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cereja_do_bolo,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a contragosto,,,a contragosto,cultural_reference,Wiktionary,Wiktionary contributors,,,,against the grain; unwillingly; reluctantly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_contragosto,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a Deus dará,,,a Deus dará,cultural_reference,Wiktionary,Wiktionary contributors,,,,disordered,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_Deus_dar%C3%A1,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a fila anda,,,a fila anda,cultural_reference,Wiktionary,Wiktionary contributors,,,,that ship has sailed,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_fila_anda,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a fio,,,a fio,cultural_reference,Wiktionary,Wiktionary contributors,,,,"uninterruptedly, continuously, constantly",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_fio,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,à frente de seu tempo,,,à frente de seu tempo,cultural_reference,Wiktionary,Wiktionary contributors,,,,ahead of one's time,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%C3%A0_frente_de_seu_tempo,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
pt,a gota que transbordou o copo,,,a gota que transbordou o copo,cultural_reference,Wiktionary,Wiktionary contributors,,,,the straw that broke the camel's back,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_gota_que_transbordou_o_copo,CC-BY-SA-4.0,,pt_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
