# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ja,ああいえばこういう,,,ああいえばこういう,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E3%81%82%E3%81%82%E3%81%84%E3%81%88%E3%81%B0%E3%81%93%E3%81%86%E3%81%84%E3%81%86,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,ああ言えばこう言う,,,ああ言えばこう言う,cultural_reference,Wiktionary,Wiktionary contributors,,,,"having a comeback or excuse for everything one is told, being smart in the sense of having a smart mouth",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E3%81%82%E3%81%82%E8%A8%80%E3%81%88%E3%81%B0%E3%81%93%E3%81%86%E8%A8%80%E3%81%86,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,哀哀父母,,,哀哀父母,cultural_reference,Wiktionary,Wiktionary contributors,,,,; Alas! alas! my parents.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E5%93%80%E5%93%80%E7%88%B6%E6%AF%8D,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,哀毀骨立,,,哀毀骨立,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be emaciated with grief at one's parents' death,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E5%93%80%E6%AF%80%E9%AA%A8%E7%AB%8B,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,愛及屋烏,,,愛及屋烏,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E6%84%9B%E5%8F%8A%E5%B1%8B%E7%83%8F,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,哀鴻遍野,,,哀鴻遍野,cultural_reference,Wiktionary,Wiktionary contributors,,,,a land of wailing and despair; land swarming with disaster victims; disaster victims moaning everywhere,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E5%93%80%E9%B4%BB%E9%81%8D%E9%87%8E,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,相碁井目,,,相碁井目,cultural_reference,Wiktionary,Wiktionary contributors,,,,"differences in skill abound in all affairs; in all matters, each person has different abilities or skill levels",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E7%9B%B8%E7%A2%81%E4%BA%95%E7%9B%AE,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,哀糸豪竹,,,哀糸豪竹,cultural_reference,Wiktionary,Wiktionary contributors,,,,; music can affect people profoundly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E5%93%80%E7%B3%B8%E8%B1%AA%E7%AB%B9,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,愛多憎生,,,愛多憎生,cultural_reference,Wiktionary,Wiktionary contributors,,,,being overly blessed with love will incur jealousy and resentment from others,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E6%84%9B%E5%A4%9A%E6%86%8E%E7%94%9F,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ja,愛別離苦,,,愛別離苦,cultural_reference,Wiktionary,Wiktionary contributors,,,,the suffering of parting from loved ones (one of the eight forms of suffering),,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E6%84%9B%E5%88%A5%E9%9B%A2%E8%8B%A6,CC-BY-SA-4.0,,ja_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
