# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
de,'n Appel und 'n Ei,,,'n Appel und 'n Ei,cultural_reference,Wiktionary,Wiktionary contributors,,,,"peanuts; a low, minuscule price",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%27n_Appel_und_%27n_Ei,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,ab durch die Mitte,,,ab durch die Mitte,cultural_reference,Wiktionary,Wiktionary contributors,,,,off we go,,,,B1,common,0.70,https://en.wiktionary.org/wiki/ab_durch_die_Mitte,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,ab und zu,,,ab und zu,cultural_reference,Wiktionary,Wiktionary contributors,,,,"now and then, occasionally",,,,B1,common,0.70,https://en.wiktionary.org/wiki/ab_und_zu,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abbügeln,,,abbügeln,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to brush off (To disregard something, to dismiss or ignore someone.)",,,,B1,common,0.70,https://en.wiktionary.org/wiki/abb%C3%BCgeln,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abfahren,,,abfahren,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to depart, to leave",,,,B1,common,0.70,https://en.wiktionary.org/wiki/abfahren,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abgekartete Sache,,,abgekartete Sache,cultural_reference,Wiktionary,Wiktionary contributors,,,,put-up affair,,,,B1,common,0.70,https://en.wiktionary.org/wiki/abgekartete_Sache,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abgekartetes Spiel,,,abgekartetes Spiel,cultural_reference,Wiktionary,Wiktionary contributors,,,,"put-up job, put-up, stitch-up",,,,B1,common,0.70,https://en.wiktionary.org/wiki/abgekartetes_Spiel,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abkönnen,,,abkönnen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be able to (with)stand or endure something or someone,,,,B1,common,0.70,https://en.wiktionary.org/wiki/abk%C3%B6nnen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,abwarten und Tee trinken,,,abwarten und Tee trinken,cultural_reference,Wiktionary,Wiktionary contributors,,,,to wait and see,,,,B1,common,0.70,https://en.wiktionary.org/wiki/abwarten_und_Tee_trinken,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,Alarm schlagen,,,Alarm schlagen,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to sound the alarm, to raise the alarm",,,,B1,common,0.70,https://en.wiktionary.org/wiki/Alarm_schlagen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alle Brücken hinter sich abbrechen,,,alle Brücken hinter sich abbrechen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to burn one's bridges,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alle_Br%C3%BCcken_hinter_sich_abbrechen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alle Hebel in Bewegung setzen,,,alle Hebel in Bewegung setzen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to pull out all the stops,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alle_Hebel_in_Bewegung_setzen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alle Jubeljahre,,,alle Jubeljahre,cultural_reference,Wiktionary,Wiktionary contributors,,,,once in a blue moon,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alle_Jubeljahre,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alle Register ziehen,,,alle Register ziehen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to pull out all the stops,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alle_Register_ziehen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alle Trümpfe in der Hand halten,,,alle Trümpfe in der Hand halten,cultural_reference,Wiktionary,Wiktionary contributors,,,,to hold all the aces,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alle_Tr%C3%BCmpfe_in_der_Hand_halten,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alles auf eine Karte setzen,,,alles auf eine Karte setzen,cultural_reference,Wiktionary,Wiktionary contributors,,,,"Risking everything, putting all one's eggs in one basket",,,,B1,common,0.70,https://en.wiktionary.org/wiki/alles_auf_eine_Karte_setzen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alles im grünen Bereich sein,,,alles im grünen Bereich sein,cultural_reference,Wiktionary,Wiktionary contributors,,,,to have everything be working; to have everything be okay,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alles_im_gr%C3%BCnen_Bereich_sein,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alles in Butter,,,alles in Butter,cultural_reference,Wiktionary,Wiktionary contributors,,,,Everything is OK,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alles_in_Butter,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alt werden,,,alt werden,cultural_reference,Wiktionary,Wiktionary contributors,,,,to stay up late,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alt_werden,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,alter Hut,,,alter Hut,cultural_reference,Wiktionary,Wiktionary contributors,,,,Something familiar and hackneyed; something that is old hat.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/alter_Hut,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am Boden zerstört sein,,,am Boden zerstört sein,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be devastated,,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_Boden_zerst%C3%B6rt_sein,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am helllichten Tag,,,am helllichten Tag,cultural_reference,Wiktionary,Wiktionary contributors,,,,in broad daylight,,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_helllichten_Tag,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am Herd stehen,,,am Herd stehen,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to cook, to prepare food",,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_Herd_stehen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am Hungertuch nagen,,,am Hungertuch nagen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be poor and starving,,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_Hungertuch_nagen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am laufenden Band,,,am laufenden Band,cultural_reference,Wiktionary,Wiktionary contributors,,,,incessantly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_laufenden_Band,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
de,am Rad drehen,,,am Rad drehen,cultural_reference,Wiktionary,Wiktionary contributors,,,,to go crazy,,,,B1,common,0.70,https://en.wiktionary.org/wiki/am_Rad_drehen,CC-BY-SA-4.0,,de_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
