# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
he,אין מה לחפש,,,אין מה לחפש,cultural_reference,Wiktionary,Wiktionary contributors,,,,to have no business,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%90%D7%99%D7%9F_%D7%9E%D7%94_%D7%9C%D7%97%D7%A4%D7%A9,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בארבע עיניים,,,בארבע עיניים,cultural_reference,Wiktionary,Wiktionary contributors,,,,"face-to-face, tête-à-tête, one-on-one, between the two of us",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%90%D7%A8%D7%91%D7%A2_%D7%A2%D7%99%D7%A0%D7%99%D7%99%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בדם קר,,,בדם קר,cultural_reference,Wiktionary,Wiktionary contributors,,,,in cold blood,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%93%D7%9D_%D7%A7%D7%A8,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בוקר טוב אליהו,,,בוקר טוב אליהו,cultural_reference,Wiktionary,Wiktionary contributors,,,,"no kidding, you don't say, no shit Sherlock",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%95%D7%A7%D7%A8_%D7%98%D7%95%D7%91_%D7%90%D7%9C%D7%99%D7%94%D7%95,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בן זונה,,,בן זונה,cultural_reference,Wiktionary,Wiktionary contributors,,,,the son of a prostitute,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%9F_%D7%96%D7%95%D7%A0%D7%94,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בן פורת יוסף,,,בן פורת יוסף,cultural_reference,Wiktionary,Wiktionary contributors,,,,praise for a young male in order to not jinx him,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%9F_%D7%A4%D7%95%D7%A8%D7%AA_%D7%99%D7%95%D7%A1%D7%A3,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,בר מינן,,,בר מינן,cultural_reference,Wiktionary,Wiktionary contributors,,,,May it not happen to us.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%91%D7%A8_%D7%9E%D7%99%D7%A0%D7%9F,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,דבר אחר,,,דבר אחר,cultural_reference,Wiktionary,Wiktionary contributors,,,,Something else; another thing.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%93%D7%91%D7%A8_%D7%90%D7%97%D7%A8,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,האותיות הקטנות,,,האותיות הקטנות,cultural_reference,Wiktionary,Wiktionary contributors,,,,"Fine print, the fine print: the detailed conditions or restrictions of a contract, advertisement, or similar.",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%94%D7%90%D7%95%D7%AA%D7%99%D7%95%D7%AA_%D7%94%D7%A7%D7%98%D7%A0%D7%95%D7%AA,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,הגיע עד פת לחם,,,הגיע עד פת לחם,cultural_reference,Wiktionary,Wiktionary contributors,,,,"(he/it) became utterly broke, indigent",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%94%D7%92%D7%99%D7%A2_%D7%A2%D7%93_%D7%A4%D7%AA_%D7%9C%D7%97%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,הפך את הקערה על פיה,,,הפך את הקערה על פיה,cultural_reference,Wiktionary,Wiktionary contributors,,,,to turn the tables,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%94%D7%A4%D7%9A_%D7%90%D7%AA_%D7%94%D7%A7%D7%A2%D7%A8%D7%94_%D7%A2%D7%9C_%D7%A4%D7%99%D7%94,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,חלומות באספמיה,,,חלומות באספמיה,cultural_reference,Wiktionary,Wiktionary contributors,,,,"Pipe dreams, near impossibilities.",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%97%D7%9C%D7%95%D7%9E%D7%95%D7%AA_%D7%91%D7%90%D7%A1%D7%A4%D7%9E%D7%99%D7%94,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,חמור נושא ספרים,,,חמור נושא ספרים,cultural_reference,Wiktionary,Wiktionary contributors,,,,"One with access to great knowledge, or who has such knowledge, but does not make use of it.",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%97%D7%9E%D7%95%D7%A8_%D7%A0%D7%95%D7%A9%D7%90_%D7%A1%D7%A4%D7%A8%D7%99%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,חשב מחוץ לקופסה,,,חשב מחוץ לקופסה,cultural_reference,Wiktionary,Wiktionary contributors,,,,to think outside the box,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%97%D7%A9%D7%91_%D7%9E%D7%97%D7%95%D7%A5_%D7%9C%D7%A7%D7%95%D7%A4%D7%A1%D7%94,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,יצא לו מהאף,,,יצא לו מהאף,cultural_reference,Wiktionary,Wiktionary contributors,,,,to get fed up,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%99%D7%A6%D7%90_%D7%9C%D7%95_%D7%9E%D7%94%D7%90%D7%A3,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,יש ל־ ג׳וק בראש,,,יש ל־ ג׳וק בראש,cultural_reference,Wiktionary,Wiktionary contributors,,,,to go crazy,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%99%D7%A9_%D7%9C%D6%BE_%D7%92%D7%B3%D7%95%D7%A7_%D7%91%D7%A8%D7%90%D7%A9,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,כמו ג׳וקים מסוממים,,,כמו ג׳וקים מסוממים,cultural_reference,Wiktionary,Wiktionary contributors,,,,addleheaded and panic-stricken (at the same time),,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9B%D7%9E%D7%95_%D7%92%D7%B3%D7%95%D7%A7%D7%99%D7%9D_%D7%9E%D7%A1%D7%95%D7%9E%D7%9E%D7%99%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,כתב נח בשבע שגיאות,,,כתב נח בשבע שגיאות,cultural_reference,Wiktionary,Wiktionary contributors,,,,to make many spelling mistakes,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9B%D7%AA%D7%91_%D7%A0%D7%97_%D7%91%D7%A9%D7%91%D7%A2_%D7%A9%D7%92%D7%99%D7%90%D7%95%D7%AA,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,לא ברא השטן,,,לא ברא השטן,cultural_reference,Wiktionary,Wiktionary contributors,,,,"terrible, horrible (literally: the devil did not create)",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9C%D7%90_%D7%91%D7%A8%D7%90_%D7%94%D7%A9%D7%98%D7%9F,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,לא כל יום פורים,,,לא כל יום פורים,cultural_reference,Wiktionary,Wiktionary contributors,,,,not every day is Purim; not every day is a holiday; not every day is a party,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9C%D7%90_%D7%9B%D7%9C_%D7%99%D7%95%D7%9D_%D7%A4%D7%95%D7%A8%D7%99%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,לימים,,,לימים,cultural_reference,Wiktionary,Wiktionary contributors,,,,"in time, eventually",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9C%D7%99%D7%9E%D7%99%D7%9D,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,לך לעזאזל,,,לך לעזאזל,cultural_reference,Wiktionary,Wiktionary contributors,,,,"go to hell, get lost",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9C%D7%9A_%D7%9C%D7%A2%D7%96%D7%90%D7%96%D7%9C,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,מחנה משותף,,,מחנה משותף,cultural_reference,Wiktionary,Wiktionary contributors,,,,"common ground, similarity",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9E%D7%97%D7%A0%D7%94_%D7%9E%D7%A9%D7%95%D7%AA%D7%A3,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,מכל וכל,,,מכל וכל,cultural_reference,Wiktionary,Wiktionary contributors,,,,"completely, totally, utterly",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9E%D7%9B%D7%9C_%D7%95%D7%9B%D7%9C,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,מלכת יופי,,,מלכת יופי,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9E%D7%9C%D7%9B%D7%AA_%D7%99%D7%95%D7%A4%D7%99,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,מצנח זהב,,,מצנח זהב,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%9E%D7%A6%D7%A0%D7%97_%D7%96%D7%94%D7%91,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,עבר על החוק,,,עבר על החוק,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to break, violate the law",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%A2%D7%91%D7%A8_%D7%A2%D7%9C_%D7%94%D7%97%D7%95%D7%A7,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,עיגל פינות,,,עיגל פינות,cultural_reference,Wiktionary,Wiktionary contributors,,,,to tell a partial truth in order to avoid conflict,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%A2%D7%99%D7%92%D7%9C_%D7%A4%D7%99%D7%A0%D7%95%D7%AA,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
he,על החיים ועל המוות,,,על החיים ועל המוות,cultural_reference,Wiktionary,Wiktionary contributors,,,,come what may,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D7%A2%D7%9C_%D7%94%D7%97%D7%99%D7%99%D7%9D_%D7%95%D7%A2%D7%9C_%D7%94%D7%9E%D7%95%D7%95%D7%AA,CC-BY-SA-4.0,,he_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
