# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
fa,آتشی,,,آتشی,cultural_reference,Wiktionary,Wiktionary contributors,,,,"red, dark red",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A2%D8%AA%D8%B4%DB%8C,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,از بیخ عرب بودن,,,از بیخ عرب بودن,cultural_reference,Wiktionary,Wiktionary contributors,,,,to not know at all; to find all Greek to one;  “to be a complete Arab; to be an Arab from the roots”,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D8%B2_%D8%A8%DB%8C%D8%AE_%D8%B9%D8%B1%D8%A8_%D8%A8%D9%88%D8%AF%D9%86,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,استخاره کردن,,,استخاره کردن,cultural_reference,Wiktionary,Wiktionary contributors,,,,to perform,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D8%B3%D8%AA%D8%AE%D8%A7%D8%B1%D9%87_%DA%A9%D8%B1%D8%AF%D9%86,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,اون ممه رو لولو برد,,,اون ممه رو لولو برد,cultural_reference,Wiktionary,Wiktionary contributors,,,,"that ship has sailed, the party is over",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A7%D9%88%D9%86_%D9%85%D9%85%D9%87_%D8%B1%D9%88_%D9%84%D9%88%D9%84%D9%88_%D8%A8%D8%B1%D8%AF,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,بازار شام,,,بازار شام,cultural_reference,Wiktionary,Wiktionary contributors,,,,very crowded place,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1_%D8%B4%D8%A7%D9%85,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,بدرنگ,,,بدرنگ,cultural_reference,Wiktionary,Wiktionary contributors,,,,+ }},,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D8%AF%D8%B1%D9%86%DA%AF,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,به دنیا آمدن,,,به دنیا آمدن,cultural_reference,Wiktionary,Wiktionary contributors,,,,to be born,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%87_%D8%AF%D9%86%DB%8C%D8%A7_%D8%A2%D9%85%D8%AF%D9%86,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,به سیم آخر زدن,,,به سیم آخر زدن,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to run amok, to lose one's temper",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%87_%D8%B3%DB%8C%D9%85_%D8%A2%D8%AE%D8%B1_%D8%B2%D8%AF%D9%86,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,بی چشم و رو,,,بی چشم و رو,cultural_reference,Wiktionary,Wiktionary contributors,,,,ungrateful,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%DB%8C_%DA%86%D8%B4%D9%85_%D9%88_%D8%B1%D9%88,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
fa,بی گدار به آب زدن,,,بی گدار به آب زدن,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to be rash, to not look before you leap",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%DB%8C_%DA%AF%D8%AF%D8%A7%D8%B1_%D8%A8%D9%87_%D8%A2%D8%A8_%D8%B2%D8%AF%D9%86,CC-BY-SA-4.0,,fa_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
