# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
tr,7/24,,,7/24,cultural_reference,Wiktionary,Wiktionary contributors,,,,24/7,,,,B1,common,0.70,https://en.wiktionary.org/wiki/7/24,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,aç açına,,,aç açına,cultural_reference,Wiktionary,Wiktionary contributors,,,,"on an empty stomach, without having eaten",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C3%A7_a%C3%A7%C4%B1na,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,aç karnına,,,aç karnına,cultural_reference,Wiktionary,Wiktionary contributors,,,,"on an empty stomach, without having eaten",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C3%A7_karn%C4%B1na,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,açıktan açığa,,,açıktan açığa,cultural_reference,Wiktionary,Wiktionary contributors,,,,"openly, overtly, publicly",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C3%A7%C4%B1ktan_a%C3%A7%C4%B1%C4%9Fa,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,adamına göre,,,adamına göre,cultural_reference,Wiktionary,Wiktionary contributors,,,,"preferentially, discriminatorily",,,,B1,common,0.70,https://en.wiktionary.org/wiki/adam%C4%B1na_g%C3%B6re,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,adı çıkmak,,,adı çıkmak,cultural_reference,Wiktionary,Wiktionary contributors,,,,to gain a bad reputation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/ad%C4%B1_%C3%A7%C4%B1kmak,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,afyonu patlamak,,,afyonu patlamak,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to wake up, to come to oneself; or , to act grumpily, to have a bad temper",,,,B1,common,0.70,https://en.wiktionary.org/wiki/afyonu_patlamak,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,ağaç olmak,,,ağaç olmak,cultural_reference,Wiktionary,Wiktionary contributors,,,,to wait in a place for a long time,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C4%9Fa%C3%A7_olmak,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,ağaç yaşken eğilir,,,ağaç yaşken eğilir,cultural_reference,Wiktionary,Wiktionary contributors,,,,people are easily trained at a young age,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C4%9Fa%C3%A7_ya%C5%9Fken_e%C4%9Filir,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,ağızdan ağıza,,,ağızdan ağıza,cultural_reference,Wiktionary,Wiktionary contributors,,,,"orally, verbally",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C4%9F%C4%B1zdan_a%C4%9F%C4%B1za,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
tr,ağzı kulaklarına varmak,,,ağzı kulaklarına varmak,cultural_reference,Wiktionary,Wiktionary contributors,,,,to smile from ear to ear,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a%C4%9Fz%C4%B1_kulaklar%C4%B1na_varmak,CC-BY-SA-4.0,,tr_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
