# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
it,a bocca aperta,,,a bocca aperta,cultural_reference,Wiktionary,Wiktionary contributors,,,,"stunned, motionless, speechless",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_bocca_aperta,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a bocca asciutta,,,a bocca asciutta,cultural_reference,Wiktionary,Wiktionary contributors,,,,"hungry, starving, without food",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_bocca_asciutta,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a braccio,,,a braccio,cultural_reference,Wiktionary,Wiktionary contributors,,,,"off-the-cuff, improvised, unprepared",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_braccio,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a capo,,,a capo,cultural_reference,Wiktionary,Wiktionary contributors,,,,at the beginning of a new paragraph or new line,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_capo,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a casa del diavolo,,,a casa del diavolo,cultural_reference,Wiktionary,Wiktionary contributors,,,,all the way to Egery and back,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_casa_del_diavolo,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a cascata,,,a cascata,cultural_reference,Wiktionary,Wiktionary contributors,,,,relating to events that happen as part of a domino effect,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cascata,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a cavallo,,,a cavallo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"on the back of (a draft animal, typically a horse); on horseback",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cavallo,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a chiare lettere,,,a chiare lettere,cultural_reference,Wiktionary,Wiktionary contributors,,,,"in so many words, in plain terms",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_chiare_lettere,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a cielo aperto,,,a cielo aperto,cultural_reference,Wiktionary,Wiktionary contributors,,,,in the open,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cielo_aperto,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a colpi di,,,a colpi di,cultural_reference,Wiktionary,Wiktionary contributors,,,,with continuous blows of,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_colpi_di,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a crepapelle,,,a crepapelle,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to the point of bursting (from eating, laughing, etc.)",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_crepapelle,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a cuore aperto,,,a cuore aperto,cultural_reference,Wiktionary,Wiktionary contributors,,,,open-heart,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cuore_aperto,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a denti asciutti,,,a denti asciutti,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_denti_asciutti,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a dispetto di,,,a dispetto di,cultural_reference,Wiktionary,Wiktionary contributors,,,,in spite of,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_dispetto_di,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a freddo,,,a freddo,cultural_reference,Wiktionary,Wiktionary contributors,,,,without prior heating; cold,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_freddo,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a gambe levate,,,a gambe levate,cultural_reference,Wiktionary,Wiktionary contributors,,,,head over heels (fast),,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_gambe_levate,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a man bassa,,,a man bassa,cultural_reference,Wiktionary,Wiktionary contributors,,,,without danger or obstacle; easily,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_man_bassa,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a man salva,,,a man salva,cultural_reference,Wiktionary,Wiktionary contributors,,,,TODO: add explanation,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_man_salva,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a morte,,,a morte,cultural_reference,Wiktionary,Wiktionary contributors,,,,so as to cause death,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_morte,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a passo di lumaca,,,a passo di lumaca,cultural_reference,Wiktionary,Wiktionary contributors,,,,at a snail's pace,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_passo_di_lumaca,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a pesci in faccia,,,a pesci in faccia,cultural_reference,Wiktionary,Wiktionary contributors,,,,with malice or insensitivity; like dirt; poorly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_pesci_in_faccia,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
it,a pezzi,,,a pezzi,cultural_reference,Wiktionary,Wiktionary contributors,,,,to pieces,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_pezzi,CC-BY-SA-4.0,,it_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
