# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
hi,अंडे का शहज़ादा,,,अंडे का शहज़ादा,cultural_reference,Wiktionary,Wiktionary contributors,,,,"an unexperienced man, novice",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%A1%E0%A5%87_%E0%A4%95%E0%A4%BE_%E0%A4%B6%E0%A4%B9%E0%A4%9C%E0%A4%BC%E0%A4%BE%E0%A4%A6%E0%A4%BE,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अंधे के हाथ बटेर लगना,,,अंधे के हाथ बटेर लगना,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to have a windfall, experience unexpected good fortune",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%A7%E0%A5%87_%E0%A4%95%E0%A5%87_%E0%A4%B9%E0%A4%BE%E0%A4%A5_%E0%A4%AC%E0%A4%9F%E0%A5%87%E0%A4%B0_%E0%A4%B2%E0%A4%97%E0%A4%A8%E0%A4%BE,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अंधेर नगरी चौपट राजा,,,अंधेर नगरी चौपट राजा,cultural_reference,Wiktionary,Wiktionary contributors,,,,a kangaroo court,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%82%E0%A4%A7%E0%A5%87%E0%A4%B0_%E0%A4%A8%E0%A4%97%E0%A4%B0%E0%A5%80_%E0%A4%9A%E0%A5%8C%E0%A4%AA%E0%A4%9F_%E0%A4%B0%E0%A4%BE%E0%A4%9C%E0%A4%BE,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अक़्ल का दुश्मन,,,अक़्ल का दुश्मन,cultural_reference,Wiktionary,Wiktionary contributors,,,,"a fool, idiot, stupid person",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%95%E0%A4%BC%E0%A5%8D%E0%A4%B2_%E0%A4%95%E0%A4%BE_%E0%A4%A6%E0%A5%81%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A4%A8,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अक़्ल बड़ी या भैंस,,,अक़्ल बड़ी या भैंस,cultural_reference,Wiktionary,Wiktionary contributors,,,,used to mock or question someone who prefers brute force or size over intelligence,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%95%E0%A4%BC%E0%A5%8D%E0%A4%B2_%E0%A4%AC%E0%A4%A1%E0%A4%BC%E0%A5%80_%E0%A4%AF%E0%A4%BE_%E0%A4%AD%E0%A5%88%E0%A4%82%E0%A4%B8,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अधजल गगरी छलकत जाय,,,अधजल गगरी छलकत जाय,cultural_reference,Wiktionary,Wiktionary contributors,,,,the empty vessels make the most noise; those who know little still show off,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%A7%E0%A4%9C%E0%A4%B2_%E0%A4%97%E0%A4%97%E0%A4%B0%E0%A5%80_%E0%A4%9B%E0%A4%B2%E0%A4%95%E0%A4%A4_%E0%A4%9C%E0%A4%BE%E0%A4%AF,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अपना उल्लू सीधा करना,,,अपना उल्लू सीधा करना,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to be selfish, to fulfill one's self-interest",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%AA%E0%A4%A8%E0%A4%BE_%E0%A4%89%E0%A4%B2%E0%A5%8D%E0%A4%B2%E0%A5%82_%E0%A4%B8%E0%A5%80%E0%A4%A7%E0%A4%BE_%E0%A4%95%E0%A4%B0%E0%A4%A8%E0%A4%BE,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अपनी गली में कुत्ता भी शेर होता है,,,अपनी गली में कुत्ता भी शेर होता है,cultural_reference,Wiktionary,Wiktionary contributors,,,,"""even a dog is a lion in his own alley""; one acts stronger in one's own neighbourhood",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%AA%E0%A4%A8%E0%A5%80_%E0%A4%97%E0%A4%B2%E0%A5%80_%E0%A4%AE%E0%A5%87%E0%A4%82_%E0%A4%95%E0%A5%81%E0%A4%A4%E0%A5%8D%E0%A4%A4%E0%A4%BE_%E0%A4%AD%E0%A5%80_%E0%A4%B6%E0%A5%87%E0%A4%B0_%E0%A4%B9%E0%A5%8B%E0%A4%A4%E0%A4%BE_%E0%A4%B9%E0%A5%88,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,अब पछताए क्या होत जब चिड़िया चुग गई खेत,,,अब पछताए क्या होत जब चिड़िया चुग गई खेत,cultural_reference,Wiktionary,Wiktionary contributors,,,,it is useless to regret after the damage is done; no use crying over spilled milk,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%85%E0%A4%AC_%E0%A4%AA%E0%A4%9B%E0%A4%A4%E0%A4%BE%E0%A4%8F_%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE_%E0%A4%B9%E0%A5%8B%E0%A4%A4_%E0%A4%9C%E0%A4%AC_%E0%A4%9A%E0%A4%BF%E0%A4%A1%E0%A4%BC%E0%A4%BF%E0%A4%AF%E0%A4%BE_%E0%A4%9A%E0%A5%81%E0%A4%97_%E0%A4%97%E0%A4%88_%E0%A4%96%E0%A5%87%E0%A4%A4,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
hi,आँख मारना,,,आँख मारना,cultural_reference,Wiktionary,Wiktionary contributors,,,,to wink,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%E0%A4%86%E0%A4%81%E0%A4%96_%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A4%A8%E0%A4%BE,CC-BY-SA-4.0,,hi_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
