# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ru,адвокат дьявола,,,адвокат дьявола,cultural_reference,Wiktionary,Wiktionary contributors,,,,devil's advocate (debater),,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B0%D0%B4%D0%B2%D0%BE%D0%BA%D0%B0%D1%82_%D0%B4%D1%8C%D1%8F%D0%B2%D0%BE%D0%BB%D0%B0,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,аппетит приходит во время еды,,,аппетит приходит во время еды,cultural_reference,Wiktionary,Wiktionary contributors,,,,appetite comes with eating,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B0%D0%BF%D0%BF%D0%B5%D1%82%D0%B8%D1%82_%D0%BF%D1%80%D0%B8%D1%85%D0%BE%D0%B4%D0%B8%D1%82_%D0%B2%D0%BE_%D0%B2%D1%80%D0%B5%D0%BC%D1%8F_%D0%B5%D0%B4%D1%8B,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,бабка надвое сказала,,,бабка надвое сказала,cultural_reference,Wiktionary,Wiktionary contributors,,,,"it's a toss-up, it's up in the air, your guess is as good as mine, it's on the fence",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B0%D0%B1%D0%BA%D0%B0_%D0%BD%D0%B0%D0%B4%D0%B2%D0%BE%D0%B5_%D1%81%D0%BA%D0%B0%D0%B7%D0%B0%D0%BB%D0%B0,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,банановая республика,,,банановая республика,cultural_reference,Wiktionary,Wiktionary contributors,,,,banana republic,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B0%D0%BD%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D1%80%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,без дураков,,,без дураков,cultural_reference,Wiktionary,Wiktionary contributors,,,,all kidding aside,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B5%D0%B7_%D0%B4%D1%83%D1%80%D0%B0%D0%BA%D0%BE%D0%B2,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,белая ворона,,,белая ворона,cultural_reference,Wiktionary,Wiktionary contributors,,,,"strange bird, rare bird, black sheep",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B2%D0%BE%D1%80%D0%BE%D0%BD%D0%B0,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,белый свет,,,белый свет,cultural_reference,Wiktionary,Wiktionary contributors,,,,"God's green earth, the world",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9_%D1%81%D0%B2%D0%B5%D1%82,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,бить,,,бить,cultural_reference,Wiktionary,Wiktionary contributors,,,,to beat,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B8%D1%82%D1%8C,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,бить баклуши,,,бить баклуши,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to loiter, to twiddle one's thumbs",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D0%B8%D1%82%D1%8C_%D0%B1%D0%B0%D0%BA%D0%BB%D1%83%D1%88%D0%B8,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ru,брать быка за рога,,,брать быка за рога,cultural_reference,Wiktionary,Wiktionary contributors,,,,to take the bull by the horns,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D0%B1%D1%80%D0%B0%D1%82%D1%8C_%D0%B1%D1%8B%D0%BA%D0%B0_%D0%B7%D0%B0_%D1%80%D0%BE%D0%B3%D0%B0,CC-BY-SA-4.0,,ru_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
